epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,76.572,0.73407,0.88027,1.09435,0.9624,0.92577,0.95196,0.85364,0.87862,1.50761,1.12596,0.000379431,0.000379431,0.000379431
57,77.8475,0.62319,0.75165,0.99557,0.96681,0.9418,0.95837,0.86062,0.81541,0.88193,1.02497,0.000371185,0.000371185,0.000371185
58,79.1497,0.67478,0.79212,1.063,0.95953,0.94247,0.96028,0.86196,0.8445,0.85506,1.03707,0.000362938,0.000362938,0.000362938
59,80.4155,0.6656,0.84049,1.02109,0.95118,0.9415,0.96752,0.86027,0.86863,0.83177,1.02538,0.000354691,0.000354691,0.000354691
60,81.6977,0.63144,0.80065,1.00331,0.92849,0.94048,0.96396,0.85027,1.03515,0.96793,1.07651,0.000346445,0.000346445,0.000346445
61,82.9647,0.68376,0.80709,1.04925,0.92988,0.93934,0.95974,0.83657,1.18246,1.04242,1.18206,0.000338198,0.000338198,0.000338198
62,84.2473,0.63701,0.76498,1.00876,0.93959,0.94574,0.96004,0.82757,1.06449,0.93396,1.15002,0.000329951,0.000329951,0.000329951
63,85.5185,0.62865,0.72542,1.01705,0.94789,0.9414,0.9593,0.84108,1.06335,0.89114,1.14167,0.000321705,0.000321705,0.000321705
64,86.807,0.61863,0.70929,1.00525,0.95953,0.93785,0.95749,0.82271,1.05155,0.91816,1.13513,0.000313458,0.000313458,0.000313458
65,88.0974,0.61665,0.71678,1.0058,0.95757,0.94151,0.95643,0.81729,1.04747,0.93223,1.13627,0.000305211,0.000305211,0.000305211
66,89.3933,0.60444,0.7033,0.98637,0.9517,0.92892,0.96969,0.83022,1.09228,0.92948,1.14026,0.000296964,0.000296964,0.000296964
67,90.7004,0.64124,0.70317,1.02,0.95079,0.9286,0.96799,0.85639,1.11794,0.91639,1.1423,0.000288718,0.000288718,0.000288718
68,92.0162,0.59283,0.71281,0.9895,0.94868,0.94253,0.95798,0.84473,1.06447,0.92403,1.10773,0.000280471,0.000280471,0.000280471
69,93.305,0.55899,0.64712,0.98472,0.95581,0.94344,0.95792,0.84714,1.01264,0.86937,1.09248,0.000272224,0.000272224,0.000272224
70,94.6301,0.6361,0.70604,1.02873,0.95604,0.95208,0.95903,0.85227,0.88859,0.7956,1.08371,0.000263978,0.000263978,0.000263978
71,95.911,0.64135,0.72247,1.03568,0.9602,0.94616,0.95871,0.84703,0.89437,0.82207,1.05258,0.000255731,0.000255731,0.000255731
72,97.2103,0.5761,0.65962,0.99076,0.94795,0.94837,0.95736,0.83893,0.84263,0.78898,1.04381,0.000247484,0.000247484,0.000247484
73,98.5132,0.62459,0.70163,1.01425,0.95054,0.94816,0.96066,0.83663,0.85222,0.8522,1.06321,0.000239238,0.000239238,0.000239238
74,99.7973,0.63168,0.69694,1.023,0.95194,0.94735,0.96121,0.84956,0.80441,0.78596,1.00781,0.000230991,0.000230991,0.000230991
75,101.101,0.6314,0.69173,1.01291,0.95582,0.94648,0.96097,0.86346,0.85069,0.8044,1.00267,0.000222744,0.000222744,0.000222744
76,102.489,0.63877,0.71149,1.04108,0.9511,0.94917,0.96136,0.86871,0.83088,0.79252,1.00205,0.000214497,0.000214497,0.000214497
77,103.799,0.60984,0.68696,0.99528,0.95411,0.94718,0.95802,0.82793,0.84365,0.79296,1.0175,0.000206251,0.000206251,0.000206251
78,105.082,0.57811,0.64838,0.98517,0.95841,0.94881,0.95887,0.84468,0.88095,0.7915,1.03416,0.000198004,0.000198004,0.000198004
79,106.348,0.54805,0.63697,0.95825,0.95698,0.9519,0.95881,0.85204,0.91249,0.82529,1.0404,0.000189757,0.000189757,0.000189757
80,107.625,0.56947,0.67822,0.97249,0.95882,0.95833,0.95683,0.83916,0.95915,0.91625,1.05805,0.000181511,0.000181511,0.000181511
81,108.892,0.60567,0.65059,0.99381,0.96191,0.95833,0.95718,0.83689,1.00333,0.95119,1.08216,0.000173264,0.000173264,0.000173264
82,110.166,0.53697,0.62102,0.98523,0.96311,0.95833,0.95725,0.84414,1.0178,0.90554,1.10561,0.000165017,0.000165017,0.000165017
83,111.422,0.48051,0.5811,0.97026,0.96234,0.9486,0.95721,0.84542,1.02259,0.86747,1.11149,0.000156771,0.000156771,0.000156771
84,112.705,0.55805,0.65639,0.99995,0.96206,0.9446,0.95654,0.85944,1.01443,0.8297,1.12735,0.000148524,0.000148524,0.000148524
85,113.966,0.55859,0.62473,0.99508,0.96138,0.94566,0.95656,0.8463,1.01389,0.82301,1.13947,0.000140277,0.000140277,0.000140277
86,115.248,0.53437,0.61899,0.98079,0.96064,0.94532,0.95714,0.85035,1.00898,0.8053,1.14782,0.000132031,0.000132031,0.000132031
87,116.501,0.5493,0.61138,0.95218,0.96389,0.94489,0.95718,0.84871,1.02143,0.81579,1.1374,0.000123784,0.000123784,0.000123784
88,117.78,0.51708,0.60884,0.97418,0.95451,0.94709,0.95882,0.83995,1.02546,0.81738,1.12506,0.000115537,0.000115537,0.000115537
89,119.044,0.53693,0.58613,0.9565,0.95042,0.94765,0.95866,0.83745,1.05083,0.81435,1.13419,0.00010729,0.00010729,0.00010729
90,120.341,0.52725,0.5904,0.95938,0.95112,0.94721,0.9599,0.84357,1.07552,0.81817,1.14746,9.90437e-05,9.90437e-05,9.90437e-05
91,130.333,0.42348,0.61699,0.88854,0.95266,0.9488,0.96007,0.84175,1.06746,0.8243,1.15706,9.0797e-05,9.0797e-05,9.0797e-05
92,131.607,0.37438,0.58092,0.86892,0.95323,0.9476,0.95745,0.83006,1.07553,0.81737,1.18569,8.25503e-05,8.25503e-05,8.25503e-05
93,132.901,0.38397,0.6057,0.86445,0.95517,0.94348,0.95729,0.8364,1.0783,0.83477,1.20903,7.43036e-05,7.43036e-05,7.43036e-05
94,134.235,0.39606,0.61209,0.86697,0.95484,0.94264,0.95693,0.84157,1.01571,0.80624,1.16372,6.60569e-05,6.60569e-05,6.60569e-05
95,135.479,0.36015,0.59335,0.84671,0.95188,0.94357,0.95699,0.85064,0.9774,0.77632,1.14311,5.78102e-05,5.78102e-05,5.78102e-05
96,136.742,0.37698,0.58304,0.8847,0.95334,0.94425,0.95741,0.84273,0.93958,0.75419,1.12485,4.95635e-05,4.95635e-05,4.95635e-05
97,137.996,0.36169,0.57326,0.89662,0.95599,0.94465,0.95759,0.84435,0.92316,0.74293,1.11724,4.13168e-05,4.13168e-05,4.13168e-05
98,139.251,0.3426,0.54044,0.85887,0.95864,0.94582,0.95764,0.84622,0.93119,0.75289,1.11933,3.30701e-05,3.30701e-05,3.30701e-05
99,140.575,0.3603,0.54693,0.86294,0.96001,0.94694,0.9578,0.84655,0.94104,0.76922,1.12865,2.48234e-05,2.48234e-05,2.48234e-05
100,141.844,0.35371,0.5512,0.85994,0.96018,0.94875,0.95764,0.85012,0.94341,0.77746,1.12599,1.65767e-05,1.65767e-05,1.65767e-05
