epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,85.7988,0.5679,0.71527,1.03278,0.9851,0.97222,0.96833,0.84794,0.48072,0.7062,0.95989,0.000305211,0.000305211,0.000305211
66,87.0506,0.55319,0.69287,1.0067,0.98172,0.97222,0.96865,0.85069,0.48514,0.66197,0.93529,0.000296964,0.000296964,0.000296964
67,88.2787,0.56272,0.73991,1.00452,0.98179,0.97222,0.96866,0.8648,0.49706,0.66466,0.94241,0.000288718,0.000288718,0.000288718
68,89.5276,0.52835,0.67741,0.97782,0.98105,0.97222,0.96833,0.87374,0.4855,0.6804,0.94774,0.000280471,0.000280471,0.000280471
69,90.7989,0.58289,0.69418,1.00868,0.97862,0.97222,0.96833,0.87956,0.47934,0.70347,0.95374,0.000272224,0.000272224,0.000272224
70,92.0433,0.54563,0.68446,1.00106,0.98072,0.97222,0.96833,0.86837,0.45646,0.67176,0.94187,0.000263978,0.000263978,0.000263978
71,93.2686,0.52852,0.67633,1.00111,0.98385,0.97222,0.96833,0.86569,0.4572,0.66428,0.94281,0.000255731,0.000255731,0.000255731
72,94.508,0.52616,0.62857,0.99764,0.98369,0.97222,0.96833,0.88642,0.45155,0.64625,0.93305,0.000247484,0.000247484,0.000247484
73,95.7422,0.49829,0.66098,0.97587,0.98382,0.97222,0.96833,0.87009,0.4429,0.63363,0.91872,0.000239238,0.000239238,0.000239238
74,97.0189,0.59847,0.66515,1.01675,0.98659,0.97222,0.96833,0.87485,0.43674,0.64505,0.9126,0.000230991,0.000230991,0.000230991
75,98.2623,0.52635,0.64588,0.96546,0.98377,0.97222,0.96833,0.87484,0.44608,0.64664,0.9189,0.000222744,0.000222744,0.000222744
76,99.5071,0.55049,0.66454,0.99445,0.9839,0.97222,0.96833,0.86836,0.44639,0.60678,0.92488,0.000214497,0.000214497,0.000214497
77,100.739,0.51703,0.66633,0.96322,0.98435,0.97222,0.96833,0.86556,0.4478,0.60523,0.92265,0.000206251,0.000206251,0.000206251
78,102.017,0.59258,0.76613,1.00822,0.98705,0.97222,0.96833,0.88482,0.44037,0.59839,0.9159,0.000198004,0.000198004,0.000198004
79,103.253,0.51987,0.64389,0.96749,0.9858,0.97222,0.96833,0.89094,0.45281,0.59843,0.9225,0.000189757,0.000189757,0.000189757
80,104.518,0.50257,0.64671,0.98597,0.98095,0.97222,0.96833,0.8814,0.4622,0.61329,0.9261,0.000181511,0.000181511,0.000181511
81,105.751,0.48373,0.65542,0.96763,0.97747,0.97222,0.96833,0.89669,0.46245,0.6171,0.92437,0.000173264,0.000173264,0.000173264
82,107.029,0.45196,0.59165,0.94365,0.97523,0.97222,0.96833,0.88646,0.45096,0.62099,0.92071,0.000165017,0.000165017,0.000165017
83,108.267,0.57269,0.67638,0.99929,0.98184,0.97222,0.96833,0.87173,0.45211,0.62061,0.92,0.000156771,0.000156771,0.000156771
84,109.517,0.50845,0.62701,0.99812,0.98235,0.97222,0.96833,0.86344,0.4373,0.60488,0.9129,0.000148524,0.000148524,0.000148524
85,110.74,0.51072,0.61736,0.95716,0.98179,0.97222,0.96833,0.86006,0.43504,0.5916,0.91023,0.000140277,0.000140277,0.000140277
86,112.008,0.49317,0.56377,0.9612,0.98404,0.97222,0.96888,0.86765,0.43002,0.57231,0.90382,0.000132031,0.000132031,0.000132031
87,113.239,0.46845,0.56251,0.97592,0.98402,0.97222,0.96833,0.88227,0.42692,0.57136,0.89954,0.000123784,0.000123784,0.000123784
88,114.479,0.48507,0.61861,0.9495,0.98413,0.97222,0.96833,0.88177,0.43186,0.57686,0.9043,0.000115537,0.000115537,0.000115537
89,115.716,0.47262,0.59096,0.95686,0.98272,0.97222,0.96833,0.88957,0.43216,0.58568,0.9076,0.00010729,0.00010729,0.00010729
90,116.957,0.47782,0.59186,0.95773,0.98276,0.97222,0.96833,0.88233,0.43556,0.58398,0.91073,9.90437e-05,9.90437e-05,9.90437e-05
91,126.287,0.36455,0.63023,0.88851,0.98154,0.97222,0.96833,0.87615,0.43946,0.58793,0.9163,9.0797e-05,9.0797e-05,9.0797e-05
92,127.529,0.36835,0.63684,0.90168,0.97368,0.96798,0.96833,0.88217,0.4507,0.62236,0.92725,8.25503e-05,8.25503e-05,8.25503e-05
93,128.725,0.34914,0.60359,0.87261,0.97105,0.96535,0.96833,0.89955,0.44596,0.62993,0.92592,7.43036e-05,7.43036e-05,7.43036e-05
94,129.93,0.32292,0.6296,0.86672,0.97551,0.96723,0.96833,0.88508,0.4334,0.61346,0.91923,6.60569e-05,6.60569e-05,6.60569e-05
95,131.134,0.31946,0.60298,0.85317,0.9799,0.97222,0.96833,0.88903,0.43335,0.59055,0.92371,5.78102e-05,5.78102e-05,5.78102e-05
96,132.384,0.30925,0.56018,0.85161,0.98365,0.97222,0.96833,0.89315,0.43202,0.56318,0.92575,4.95635e-05,4.95635e-05,4.95635e-05
97,133.676,0.32934,0.56312,0.87064,0.98516,0.97222,0.96833,0.88759,0.43061,0.55242,0.92266,4.13168e-05,4.13168e-05,4.13168e-05
98,134.894,0.32347,0.56519,0.86203,0.9851,0.97222,0.96833,0.88055,0.42666,0.54706,0.91633,3.30701e-05,3.30701e-05,3.30701e-05
99,136.096,0.32957,0.54139,0.88166,0.98535,0.97222,0.96833,0.87777,0.42621,0.54711,0.91295,2.48234e-05,2.48234e-05,2.48234e-05
100,137.313,0.31447,0.54495,0.84665,0.986,0.97222,0.96833,0.88004,0.42213,0.55066,0.91087,1.65767e-05,1.65767e-05,1.65767e-05
