epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,79.4116,0.84196,1.31673,1.25897,0.746,0.78751,0.76366,0.53247,1.14143,1.65249,1.63903,0.0001684,0.0001684,0.0001684
86,80.2536,0.94602,1.4239,1.32336,0.73844,0.79433,0.76951,0.53434,1.15201,1.63605,1.64994,0.0001585,0.0001585,0.0001585
87,81.0959,0.9683,1.37493,1.30416,0.72704,0.80386,0.7744,0.52994,1.16599,1.59956,1.66186,0.0001486,0.0001486,0.0001486
88,81.945,1.04308,1.38706,1.36256,0.71091,0.80556,0.76143,0.52812,1.16535,1.5782,1.65419,0.0001387,0.0001387,0.0001387
89,82.8096,0.98814,1.43422,1.40377,0.68758,0.80556,0.76364,0.53813,1.1836,1.549,1.66164,0.0001288,0.0001288,0.0001288
90,83.662,0.96337,1.4159,1.37177,0.72367,0.84722,0.83126,0.5441,1.18382,1.53471,1.67059,0.0001189,0.0001189,0.0001189
91,91.4237,0.76856,1.37081,1.19012,0.75543,0.84683,0.83027,0.54643,1.18426,1.51972,1.68024,0.000109,0.000109,0.000109
92,92.4148,0.81962,1.35603,1.23793,0.78882,0.84158,0.83241,0.5415,1.1776,1.53465,1.67492,9.91e-05,9.91e-05,9.91e-05
93,93.3793,0.84642,1.48198,1.33525,0.78391,0.84722,0.82738,0.55298,1.15493,1.53052,1.63688,8.92e-05,8.92e-05,8.92e-05
94,94.2788,0.71113,1.28883,1.14276,0.71299,0.84722,0.83075,0.55316,1.15896,1.51398,1.63532,7.93e-05,7.93e-05,7.93e-05
95,95.1981,0.77171,1.34246,1.20908,0.68223,0.84722,0.82986,0.54116,1.15711,1.50578,1.63403,6.94e-05,6.94e-05,6.94e-05
96,96.0966,0.76053,1.37612,1.21782,0.65398,0.87234,0.83598,0.54654,1.14946,1.5004,1.62959,5.95e-05,5.95e-05,5.95e-05
97,97.007,0.78409,1.40143,1.28891,0.66707,0.875,0.83374,0.54811,1.1361,1.48796,1.61641,4.96e-05,4.96e-05,4.96e-05
98,98.0004,0.74069,1.35826,1.24153,0.69333,0.875,0.83649,0.54683,1.1228,1.47865,1.60822,3.97e-05,3.97e-05,3.97e-05
99,98.9358,0.7668,1.29359,1.23515,0.7028,0.875,0.83651,0.5481,1.11837,1.46758,1.61515,2.98e-05,2.98e-05,2.98e-05
100,99.816,0.7711,1.38813,1.25829,0.71351,0.87112,0.84491,0.55932,1.11577,1.45663,1.61622,1.99e-05,1.99e-05,1.99e-05
